"New dwelling purchase by owner occupiers, Australia, quarterly and annual movement (%)"
,"Change from previous quarter (%)","Annual change (%)"
"Jun-00","0.5","7.5"
"Sep-00","8.1","13.9"
"Dec-00","0.3","10.7"
"Mar-01","0.1","9.1"
"Jun-01","-0.3","8.2"
"Sep-01","0.9","1.0"
"Dec-01","1.0","1.8"
"Mar-02","0.9","2.5"
"Jun-02","1.0","3.8"
"Sep-02","1.0","3.9"
"Dec-02","0.7","3.6"
"Mar-03","1.5","4.3"
"Jun-03","1.9","5.2"
"Sep-03","1.7","6.0"
"Dec-03","1.1","6.4"
"Mar-04","1.0","5.9"
"Jun-04","1.4","5.4"
"Sep-04","1.1","4.7"
"Dec-04","1.5","5.2"
"Mar-05","1.4","5.5"
"Jun-05","0.9","5.0"
"Sep-05","1.2","5.0"
"Dec-05","0.8","4.3"
"Mar-06","0.4","3.3"
"Jun-06","1.1","3.5"
"Sep-06","0.2","2.5"
"Dec-06","0.5","2.1"
"Mar-07","1.0","2.8"
"Jun-07","0.9","2.7"
"Sep-07","1.0","3.5"
"Dec-07","1.4","4.4"
"Mar-08","1.7","5.1"
"Jun-08","1.0","5.1"
"Sep-08","1.3","5.4"
"Dec-08","0.2","4.2"
"Mar-09","-0.5","2.0"
"Jun-09","0.9","1.8"
"Sep-09","1.1","1.6"
"Dec-09","0.9","2.4"
"Mar-10","1.3","4.2"
"Jun-10","0.5","3.8"
"Sep-10","0.5","3.3"
"Dec-10","0.7","3.0"
"Mar-11","0.8","2.6"
"Jun-11","0.4","2.5"
"Sep-11","-0.1","1.8"
"Dec-11","0.3","1.4"
"Mar-12","-0.1","0.5"
"Jun-12","0.1","0.2"
"Sep-12","0.9","1.2"
"Dec-12","0.1","1.0"
"Mar-13","1.7","2.8"
"Jun-13","0.9","3.6"
"Sep-13","0.5","3.2"
"Dec-13","1.0","4.1"
"Mar-14","0.1","2.4"
"Jun-14","1.6","3.2"
"Sep-14","1.1","3.8"
"Dec-14","1.1","4.0"
"Mar-15","0.9","4.8"
"Jun-15","1.5","4.8"
"Sep-15","0.7","4.3"
"Dec-15","0.1","3.3"
"Mar-16","0.2","2.5"
"Jun-16","0.9","1.9"
"Sep-16","0.4","1.6"
"Dec-16","0.5","2.0"
"Mar-17","1.0","2.8"
"Jun-17","0.9","2.8"
"Sep-17","0.8","3.1"
"Dec-17","0.6","3.2"
"Mar-18","0.5","2.7"
"Jun-18","0.8","2.7"
"Sep-18","0.1","2.0"
"Dec-18","0.4","1.8"
"Mar-19","-0.2","1.2"
"Jun-19","-0.2","0.2"
"Sep-19","-0.2","-0.1"
"Dec-19","0.4","-0.1"
"Mar-20","0.4","0.5"
"Jun-20","0.1","0.7"
"Sep-20","0.5","1.4"
"Dec-20","0.7","1.7"
"Mar-21","-0.1","1.2"
"Jun-21","-0.1","1.0"
"Sep-21","3.3","3.8"
"Dec-21","4.2","7.5"
"Mar-22","5.7","13.7"
"Jun-22","5.6","20.3"
"Sep-22","3.7","20.7"
"Dec-22","1.7","17.8"
"Mar-23","1.2","12.7"
"Jun-23","1.0","7.8"

"Introduction of GST"

"Source: Australian Bureau of Statistics, Consumer Price Index, Australia June Quarter 2023"